dataset_name,input_dim,k_value,grid_size,n_params,memory_gb
Franke_2D,2,8,10,4754,0.023847103118896484
Franke_2D,2,8,20,6534,0.030805110931396484
Franke_2D,2,8,40,10094,0.04473733901977539
Franke_2D,2,16,10,21386,0.1068263053894043
Franke_2D,2,16,20,27486,0.1354203224182129
Franke_2D,2,16,40,39686,0.1944417953491211
Franke_2D,2,32,10,114938,0.6970601081848145
Franke_2D,2,32,20,137358,0.8107800483703613
Franke_2D,2,32,40,182198,1.0434069633483887
Hartmann_3D,3,8,10,4989,0.023914337158203125
Hartmann_3D,3,8,20,6859,0.03088235855102539
Hartmann_3D,3,8,40,10599,0.04483461380004883
Hartmann_3D,3,16,10,21973,0.1069488525390625
Hartmann_3D,3,16,20,28243,0.13555335998535156
Hartmann_3D,3,16,40,40783,0.1945943832397461
Hartmann_3D,3,32,10,116613,0.6972928047180176
Hartmann_3D,3,32,20,139363,0.8110232353210449
Hartmann_3D,3,32,40,184863,1.0436720848083496
Ackley_5D,5,8,10,5459,0.024049758911132812
Ackley_5D,5,8,20,7509,0.031037330627441406
Ackley_5D,5,8,40,11609,0.0450291633605957
Ackley_5D,5,16,10,23147,0.1071929931640625
Ackley_5D,5,16,20,29757,0.1358180046081543
Ackley_5D,5,16,40,42977,0.1948995590209961
Ackley_5D,5,32,10,119963,0.6977624893188477
Ackley_5D,5,32,20,143373,0.8115148544311523
Ackley_5D,5,32,40,190193,1.0442066192626953
Michalewicz_7D,7,8,10,5929,0.024184226989746094
Michalewicz_7D,7,8,20,8159,0.031192302703857422
Michalewicz_7D,7,8,40,12619,0.045223236083984375
Michalewicz_7D,7,16,10,24321,0.1074371337890625
Michalewicz_7D,7,16,20,31271,0.13608217239379883
Michalewicz_7D,7,16,40,45171,0.1952047348022461
Michalewicz_7D,7,32,10,123313,0.6982283592224121
Michalewicz_7D,7,32,20,147383,0.8120017051696777
Michalewicz_7D,7,32,40,195523,1.044736385345459
Levy_10D,10,8,10,6634,0.024387359619140625
Levy_10D,10,8,20,9134,0.03142404556274414
Levy_10D,10,8,40,14134,0.045514583587646484
Levy_10D,10,16,10,26082,0.10780763626098633
Levy_10D,10,16,20,33542,0.13648319244384766
Levy_10D,10,16,40,48462,0.19566679000854492
Levy_10D,10,32,10,128338,0.6989302635192871
Levy_10D,10,32,20,153398,0.8127365112304688
Levy_10D,10,32,40,203518,1.0455360412597656
